"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1497","13","Kabupaten Cilacap","3301","2","-7.733333","109","1"
"1498","13","Kabupaten Banyumas","3302","2","-7.4832133","109.140438","1"
"1499","13","Kabupaten Purbalingga","3303","2","-7.390747","109.3638","1"
"1500","13","Kabupaten Banjarnegara","3304","2","-7.402706","109.681396","1"
"1501","13","Kabupaten Kebumen","3305","2","-7.678682","109.656502","1"
"1502","13","Kabupaten Purworejo","3306","2","-7.709731","110.008003","1"
"1503","13","Kabupaten Wonosobo","3307","2","-7.362109","109.899399","1"
"1504","13","Kabupaten Magelang","3308","2","-7.481253","110.213799","1"
"1505","13","Kabupaten Boyolali","3309","2","-7.523819","110.595901","1"
"1506","13","Kabupaten Klaten","3310","2","-7.711687","110.595497","1"
"1507","13","Kabupaten Sukoharjo","3311","2","-7.6808818","110.8195292","1"
"1508","13","Kabupaten Wonogiri","3312","2","-7.817782","110.920601","1"
"1509","13","Kabupaten Karanganyar","3313","2","-7.5961111","110.9508333","1"
"1510","13","Kabupaten Sragen","3314","2","-7.430229","111.021301","1"
"1511","13","Kabupaten Grobogan","3315","2","-7.0217194","110.9625854","1"
"1512","13","Kabupaten Blora","3316","2","-6.95","111.4166667","1"
"1513","13","Kabupaten Rembang","3317","2","-6.71124","111.345299","1"
"1514","13","Kabupaten Pati","3318","2","-6.751338","111.038002","1"
"1515","13","Kabupaten Kudus","3319","2","-6.804087","110.838203","1"
"1516","13","Kabupaten Jepara","3320","2","-6.5596059","110.6717","1"
"1517","13","Kabupaten Demak","3321","2","-6.888115","110.639297","1"
"1518","13","Kabupaten Semarang","3322","2","-6.9666667","110.4166667","1"
"1519","13","Kabupaten Temanggung","3323","2","-7.316669","110.174797","1"
"1520","13","Kabupaten Kendal","3324","2","-6.919686","110.205597","1"
"1521","13","Kabupaten Batang","3325","2","-6.8941111","109.7234519","1"
"1522","13","Kabupaten Pekalongan","3326","2","-6.882887","109.669998","1"
"1523","13","Kabupaten Pemalang","3327","2","-6.884234","109.377998","1"
"1524","13","Kabupaten Tegal","3328","2","-6.8666667","109.1333333","1"
"1525","13","Kabupaten Brebes","3329","2","-6.8833333","109.05","1"
"1526","13","Kota Magelang","3371","2","-7.481253","110.213799","1"
"1527","13","Kota Surakarta","3372","2","-7.5666667","110.8166667","1"
"1528","13","Kota Salatiga","3373","2","-7.302328","110.4729","1"
"1529","13","Kota Semarang","3374","2","-6.9666667","110.4166667","1"
"1530","13","Kota Pekalongan","3375","2","-6.882887","109.669998","1"
"1531","13","Kota Tegal","3376","2","-6.8666667","109.1333333","1"
