"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1471","12","Kabupaten Bogor","3201","2","-6.6","106.8","1"
"1472","12","Kabupaten Sukabumi","3202","2","-6.92405","106.922203","1"
"1473","12","Kabupaten Cianjur","3203","2","-6.8172531","107.1307289","1"
"1474","12","Kabupaten Bandung","3204","2","-6.9147444","107.6098111","1"
"1475","12","Kabupaten Garut","3205","2","-7.227906","107.908699","1"
"1476","12","Kabupaten Tasikmalaya","3206","2","-7.327954","108.214104","1"
"1477","12","Kabupaten Ciamis","3207","2","-7.3333333","108.35","1"
"1478","12","Kabupaten Kuningan","3208","2","-6.9833333","108.4833333","1"
"1479","12","Kabupaten Cirebon","3209","2","-6.715534","108.564003","1"
"1480","12","Kabupaten Majalengka","3210","2","-6.8531026","108.2258897","1"
"1481","12","Kabupaten Sumedang","3211","2","0.6095949","110.0330554","1"
"1482","12","Kabupaten Indramayu","3212","2","-6.336315","108.325104","1"
"1483","12","Kabupaten Subang","3213","2","-6.569361","107.752403","1"
"1484","12","Kabupaten Purwakarta","3214","2","-6.5386806","107.4499404","1"
"1485","12","Kabupaten Karawang","3215","2","-6.3227303","107.3375791","1"
"1486","12","Kabupaten Bekasi","3216","2","-6.2333333","107","1"
"1487","12","Kabupaten Bandung Barat","3217","2","-6.8937121","107.4321959","1"
"1488","12","Kota Bogor","3271","2","-6.6","106.8","1"
"1489","12","Kota Sukabumi","3272","2","-6.92405","106.922203","1"
"1490","12","Kota Bandung","3273","2","-6.9147444","107.6098111","1"
"1491","12","Kota Cirebon","3274","2","-6.715534","108.564003","1"
"1492","12","Kota Bekasi","3275","2","-6.2333333","107","1"
"1493","12","Kota Depok","3276","2","-6.39","106.83","1"
"1494","12","Kota Cimahi","3277","2","-6.880239","107.5355","1"
"1495","12","Kota Tasikmalaya","3278","2","-7.327954","108.214104","1"
"1496","12","Kota Banjar","3279","2","-7.3666667","108.5333333","1"
